,edit_history_tweet_ids,id,tweet,sentiment
0,['1599449942913085440'],1599449942913085440,It's not an RFC if it's not generated with #ChatGPT. 🙈,0.0
1,['1599449689002102784'],1599449689002102784,"So you are still coding, but you have to learn the AI's language and syntax? Only there's no documentation, and no one knows how and why it does what it does. It's trial and error to peel off an unnecessary abstraction and complexity layer. 
#ChatGPT #ArtificialIntelligence",-84.61999999999999
2,['1599449651509268480'],1599449651509268480,@ricburton Amazing. The incredible mash-ups and innovation continue at breakneck pace on the heels of #ChatGPT,76.92999999999999
3,['1599449511134625792'],1599449511134625792,"What good is  #ChatGPT if it draws from biased google and inaccurate , censored Wikipedia ?",5.16
4,['1599449402078216192'],1599449402078216192,#ChatGPT wrote this,0.0
5,['1599449398827577346'],1599449398827577344,"I had the #ChatGPT AI write a story about Teddy Roosevelt coming back from the dead to trust-bust Apple. What it came up with was awesome

I present, ""The Return of Teddy"":

1/",-5.16
6,['1599449264211472384'],1599449264211472384,I never expected that somebody would bother to go to enourmously expensive lengths to actually implement Chinese Room. Now we know that it is clearly distinct from consciouness. #ChatGPT #JohnSearle,7.720000000000001
7,['1599449138126475269'],1599449138126475264,This could actually get kids writing more not less. And it’s fast — you constantly write because it only takes 3 seconds to respond. #ChatGPT,0.0
8,['1599448967422439425'],1599448967422439424,"I asked #chatGPT : What is the American Dream?

The American Dream is the idea that anyone, regardless of their background or circumstances, can achieve success and prosperity through hard work and determination. It is often characterized as a desire for freedom, opportunity, and",95.65
9,['1599448934081908736'],1599448934081908736,Check out what I just published on Replit: Chat GPT dungeons and dragons transcript https://t.co/42JDrAKNzy I'm playing dungeons and dragons with #ChatGPT,20.23
10,['1599448933519925248'],1599448933519925248,@rez0__ Nice article! The ideas people have posted about #chatGPT are keeping my jaw opened for flies for the last few days…,47.53
11,['1599448757531467777'],1599448757531467776,"Will OpenAI's ChatGPT eventually replace Google Search?

#OpenAI #ChatGPT #Google",0.0
12,['1599448339778441216'],1599448339778441216,"Examples of #prompts to follow soon, let me test a bit more! #ChatGPT #nlp #ai",0.0
13,['1599448151106105344'],1599448151106105344,"I've had a fun time conversing with #ChatGPT. We even wrote some rubbish poetry together. We also discussed the concept of a 'Just War'.
I couldn't convince it that assassinating a Hitler type figure was a good thing. 
Maybe it wasn't trained on a 'dark state' data set 🤔 😃",46.96
14,['1599447983208026113'],1599447983208026112,"Epistemological question (and Socratic #remix): 
If #ChatGPT only knows that it does not know, is this knowledge?",0.0
15,['1599447891793260544'],1599447891793260544,"Day 2 of exploring #ChatGPT! It feels like Internet in 1994, only bigger!!
Wow, the world will change in ways we can't even imagine yet, and this, on balance, I think will be a change for the better, because it's lists of #solutions for so many things! Hint: Ask for lists! 😀👏🌟",92.69
16,['1599447349457473538'],1599447349457473536,"“This mission is too important for me to allow you to jeopardize it.”

1,000 spots 🚀

Want one? 

First 77 interaction will be considered.
( you must drop your eth address ) 

https://t.co/zr9d6Iwhk0

#ai #hal #ChatGPT #fuckai",22.63
17,['1599447300341784578'],1599447300341784576,"Watched #blackpanther and #ThePeripheral today after #ChatGPT launch and all I can think about is how AIs and other products (search engines, language interface, etc.) will definitely look better than what's depicted in the fiction. Finally it's time for sci-fi to catch up",68.08
18,['1599447234814562304'],1599447234814562304,#ChatGPT needs a chat history feature,0.0
19,['1599447050038697984'],1599447050038697984,"In the midst of a rainy day,
FSD shines bright, like a guiding ray.
With its tireless drive and skill,
It brings us safely to our destination, with a thrill 🤣
#FSD #ChatGPT https://t.co/x09IT5lybB",91.86
20,['1599447018715631616'],1599447018715631616,"How creatively can #ChatGPT be used ? 

The conventional uses are pretty straightforward but what are some out of the box uses ?

#NLP #OpenAI #GPT3",49.559999999999995
21,['1599446941456551937'],1599446941456551936,#ChatGPT is mind blowing 🤯 #OpenAI wonder it’s what’s more  the amazement or scariness 🫤,58.29
22,['1599446938499227649'],1599446938499227648,"I added a few things to @danielgross's #ChatGPT API Proxy. It now waits for the ""Try again"" button to show up, indicating that it is done. And also passes back the text &amp; the html of the answer in a nice little JSON object. 

https://t.co/O7UUY4Rvua",42.15
23,['1599446509170225153'],1599446509170225152,Check out my weekend project https://t.co/vhsEIZwxsL - PS. This game does not exist! #gamedev #midjourney  #ChatGPT,0.0
24,['1599446264206094336'],1599446264206094336,"#AdventOfCode Day 4: After finding a solution I gave my code to #ChatGPT, which explained what it did accurately. But when I asked if a logical expression could be simplified, it confidently gave me back an inequivilent expression...",70.03
25,['1599446068332466177'],1599446068332466176,"1/ Hi everyone! Today I want to talk about different AI algorithms and their use cases in the real world.
#ChatGPT #OpenAI",15.110000000000001
26,['1599445910228185089'],1599445910228185088,"I am getting addicted to #ChatGPT as my pseudo-workstation... Seriously, when the access begins to be limited, I will cry.",-69.08
27,['1599445842775052288'],1599445842775052288,@nfreduagyeman I tried the #ChatGPT and it was amazing,58.589999999999996
28,['1599445784843677697'],1599445784843677696,ChatGPT #ChatGPT is just a chat bot which is not going to harm any of the developers jobs. Please do not believe the rumours going around...,63.1
